primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
Birds of Passage,Pájaros de verano,0,2018,\N,125,Crime Drama
Invisible Life,A Vida Invisível,0,2019,\N,139,Drama
Downton Abbey,Downton Abbey,0,2019,\N,122,Drama Romance
The Ballad of Buster Scruggs,The Ballad of Buster Scruggs,0,2018,\N,133,Comedy Drama Musical
Becoming Astrid,Unga Astrid,0,2018,\N,123,Biography Drama History
Mommy Dead and Dearest,Mommy Dead and Dearest,0,2017,\N,82,Crime Documentary
I Can Only Imagine,I Can Only Imagine,0,2018,\N,110,Biography Drama Family
Sanju,Sanju,0,2018,\N,155,Biography Comedy Drama
Sing 2,Sing 2,0,2021,\N,110,Adventure Animation Comedy
Five Feet Apart,Five Feet Apart,0,2019,\N,116,Drama Romance
Clouds,Clouds,0,2020,\N,121,Biography Drama Music
Newton,Newton,0,2017,\N,106,Comedy Drama
Mersal,Mersal,0,2017,\N,172,Action Crime Thriller
Upgrade,Upgrade,0,2018,\N,100,Action Sci-Fi Thriller
McQueen,McQueen,0,2018,\N,111,Biography Documentary
Salyut-7,Salyut-7,0,2017,\N,111,Action Drama History
Cold War,Zimna wojna,0,2018,\N,89,Drama Music Romance
The White Tiger,The White Tiger,0,2021,\N,125,Crime Drama
102 Not Out,102 Not Out,0,2018,\N,102,Comedy Drama
The Boy and the Heron,Kimitachi wa dô ikiru ka,0,2023,\N,124,Adventure Animation Drama
Hichki,Hichki,0,2018,\N,116,Comedy Drama
The Wild Pear Tree,Ahlat Agaci,0,2018,\N,188,Drama
Bad Times at the El Royale,Bad Times at the El Royale,0,2018,\N,141,Crime Drama Mystery
A Quiet Place,A Quiet Place,0,2018,\N,90,Drama Horror Sci-Fi
Spacewalk,Vremya pervykh,0,2017,\N,137,Drama History
Ittefaq,Ittefaq,0,2017,\N,105,Mystery Thriller
Everything Everywhere All at Once,Everything Everywhere All at Once,0,2022,\N,139,Action Adventure Comedy
Get Me Roger Stone,Get Me Roger Stone,0,2017,\N,92,Biography Documentary
Trance,Trance,0,2020,\N,170,Drama Thriller
Tenet,Tenet,0,2020,\N,150,Action Sci-Fi Thriller
Scenes from a Marriage,Scener ur ett äktenskap,0,1974,\N,169,Drama
The Guilty,Den skyldige,0,2018,\N,85,Crime Drama Thriller
Parasite,Gisaengchung,0,2019,\N,132,Drama Thriller
Happy as Lazzaro,Lazzaro felice,0,2018,\N,128,Drama Fantasy Mystery
The Captain,Der Hauptmann,0,2017,\N,118,Drama History Thriller
Dogman,Dogman,0,2018,\N,103,Crime Drama Thriller
Bad Genius,Chalard games goeng,0,2017,\N,130,Comedy Crime Drama
Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3,0,2023,\N,150,Action Adventure Comedy
A Twelve-Year Night,La noche de 12 años,0,2018,\N,122,Adventure Biography Crime
Champions,Campeones,0,2018,\N,124,Comedy Drama Family
Parmanu: The Story of Pokhran,Parmanu: The Story of Pokhran,0,2018,\N,129,Action Drama History
Palmer,Palmer,0,2021,\N,110,Drama
A Taxi Driver,Taeksi woonjunsa,0,2017,\N,137,Action Drama History
Foxtrot,Foxtrot,0,2017,\N,113,Drama
Mirage,Durante la tormenta,0,2018,\N,128,Drama Fantasy Mystery
Journal 64,Journal 64,0,2018,\N,119,Crime Mystery Thriller
Green Book,Green Book,0,2018,\N,130,Biography Comedy Drama
Seeking True Love,Bareilly Ki Barfi,0,2017,\N,116,Comedy Romance
Blackmail,Blackmail,0,2018,\N,138,Comedy Drama Thriller
Bharath Ane Nenu,Bharat Ane Nenu,0,2018,\N,173,Action Drama Thriller
Eighth Grade,Eighth Grade,0,2018,\N,93,Comedy Drama
The Summit of the Gods,Le sommet des dieux,0,2021,\N,95,Adventure Animation Drama
96,96,0,2018,\N,158,Drama Romance
Super Deluxe,Super Deluxe,0,2019,\N,176,Comedy Crime Drama
The Insult,L'insulte,0,2017,\N,113,Crime Drama Thriller
Midnight Runners,Cheong-nyeon-gyeong-chal,0,2017,\N,109,Action Comedy
Forgotten,Gi-eok-ui bam,0,2017,\N,108,Crime Mystery Thriller
Raatchasan,Ratsasan,0,2018,\N,146,Crime Mystery Thriller
