primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
The Andromeda Strain,The Andromeda Strain,0,1971,\N,131,Mystery Sci-Fi Thriller
Bedknobs and Broomsticks,Bedknobs and Broomsticks,0,1971,\N,117,Adventure Animation Comedy
The Beguiled,The Beguiled,0,1971,\N,105,Drama Thriller War
Big Jake,Big Jake,0,1971,\N,110,Drama Western
A Clockwork Orange,A Clockwork Orange,0,1971,\N,136,Crime Sci-Fi
The Devils,The Devils,0,1971,\N,111,Biography Drama History
Dirty Harry,Dirty Harry,0,1971,\N,102,Action Crime Thriller
Fiddler on the Roof,Fiddler on the Roof,0,1971,\N,181,Drama Family Musical
Delusions of Grandeur,La folie des grandeurs,0,1971,\N,85,Adventure Comedy History
The French Connection,The French Connection,0,1971,\N,104,Action Crime Drama
Get Carter,Get Carter,0,1971,\N,112,Crime Thriller
"Duck, You Sucker!",Giù la testa,0,1971,\N,138,Drama War Western
Harold and Maude,Harold and Maude,0,1971,\N,91,Comedy Drama Romance
The Hospital,The Hospital,0,1971,\N,103,Comedy Drama Mystery
Johnny Got His Gun,Johnny Got His Gun,0,1971,\N,111,Drama War
Klute,Klute,0,1971,\N,114,Crime Mystery Thriller
The Last Picture Show,The Last Picture Show,0,1971,\N,118,Drama Romance
They Call Me Trinity,Lo chiamavano Trinità...,0,1970,\N,115,Comedy Western
Macbeth,The Tragedy of Macbeth,0,1971,\N,140,Drama History
McCabe & Mrs. Miller,McCabe & Mrs. Miller,0,1971,\N,120,Drama Western
Death in Venice,Morte a Venezia,0,1971,\N,130,Drama Romance
A New Leaf,A New Leaf,0,1971,\N,102,Comedy Romance
Wake in Fright,Wake in Fright,0,1971,\N,109,Drama Thriller
The Panic in Needle Park,The Panic in Needle Park,0,1971,\N,110,Drama
Punishment Park,Punishment Park,0,1971,\N,91,Drama Thriller
Murmur of the Heart,Le souffle au coeur,0,1971,\N,118,Comedy Drama
Straw Dogs,Straw Dogs,0,1971,\N,113,Crime Drama Thriller
Summer of '42,Summer of '42,0,1971,\N,104,Drama Romance
El Topo,El Topo,0,1970,\N,125,Drama Western
Two-Lane Blacktop,Two-Lane Blacktop,0,1971,\N,102,Drama
The Emigrants,Utvandrarna,0,1971,\N,151,Drama History
Vanishing Point,Vanishing Point,0,1971,\N,99,Action Crime Thriller
Walkabout,Walkabout,0,1971,\N,100,Adventure Drama
Willy Wonka & the Chocolate Factory,Willy Wonka & the Chocolate Factory,0,1971,\N,100,Adventure Comedy Family
Trinity Is Still My Name,... continuavano a chiamarlo Trinità,0,1971,\N,117,Comedy Western
1776,1776,0,1972,\N,141,Drama Family History
"Aguirre, the Wrath of God","Aguirre, der Zorn Gottes",0,1972,\N,95,Action Adventure Biography
Love in the Afternoon,L'amour l'après-midi,0,1972,\N,97,Comedy Drama Romance
Avanti!,Avanti!,0,1972,\N,144,Comedy Romance
The Bitter Tears of Petra von Kant,Die bitteren Tränen der Petra von Kant,0,1972,\N,124,Drama Romance
Cabaret,Cabaret,0,1972,\N,124,Drama Music Musical
The Discreet Charm of the Bourgeoisie,Le charme discret de la bourgeoisie,0,1972,\N,102,Comedy Drama Fantasy
The Cowboys,The Cowboys,0,1972,\N,134,Adventure Drama Western
Deliverance,Deliverance,0,1972,\N,109,Adventure Drama Thriller
Gentlemen of Fortune,Dzhentlmeny udachi,0,1971,\N,88,Comedy Crime Drama
Fat City,Fat City,0,1972,\N,96,Drama Sport
Frenzy,Frenzy,0,1972,\N,116,Drama Thriller
The Getaway,The Getaway,0,1972,\N,123,Action Crime Thriller
The Godfather,The Godfather,0,1972,\N,175,Crime Drama
The Tall Blond Man with One Black Shoe,Le grand blond avec une chaussure noire,0,1972,\N,90,Comedy Mystery
High Plains Drifter,High Plains Drifter,0,1973,\N,105,Drama Mystery Western
Jeremiah Johnson,Jeremiah Johnson,0,1972,\N,108,Adventure Drama Western
Fist of Fury,Jing wu men,0,1972,\N,107,Action Drama Romance
Lone Wolf and Cub: Sword of Vengeance,Kozure Ôkami: Ko wo kashi ude kashi tsukamatsuru,0,1972,\N,84,Action Adventure
The Way of the Dragon,Meng long guo jiang,0,1972,\N,90,Action Adventure Comedy
Pink Floyd: Live at Pompeii,Pink Floyd: Live at Pompeii,0,1972,\N,92,Documentary Music
"Play It Again, Sam","Play It Again, Sam",0,1972,\N,85,Comedy Romance
The Poseidon Adventure,The Poseidon Adventure,0,1972,\N,117,Action Adventure Drama
Fellini's Roma,Roma,0,1972,\N,120,Comedy Drama
Sleuth,Sleuth,0,1972,\N,138,Mystery Thriller
Solaris,Solyaris,0,1972,\N,167,Drama Mystery Sci-Fi
Cries & Whispers,Viskningar och rop,0,1972,\N,92,Drama
"What's Up, Doc?","What's Up, Doc?",0,1972,\N,94,Comedy Romance
Alice in the Cities,Alice in den Städten,0,1974,\N,113,Drama
"Watch Out, We're Mad",...altrimenti ci arrabbiamo!,0,1974,\N,102,Action Comedy
American Graffiti,American Graffiti,0,1973,\N,110,Comedy Drama
The Mad Adventures of Rabbi Jacob,Les aventures de Rabbi Jacob,0,1973,\N,95,Adventure Comedy
Badlands,Badlands,0,1973,\N,94,Action Crime Drama
Charley Varrick,Charley Varrick,0,1973,\N,111,Crime Drama Thriller
The Day of the Jackal,The Day of the Jackal,0,1973,\N,143,Crime Drama Thriller
Don't Look Now,Don't Look Now,0,1973,\N,110,Drama Horror Mystery
Enter the Dragon,Enter the Dragon,0,1973,\N,102,Action Crime Thriller
The Spirit of the Beehive,El espíritu de la colmena,0,1973,\N,98,Drama Fantasy
The Exorcist,The Exorcist,0,1973,\N,122,Horror
The Friends of Eddie Coyle,The Friends of Eddie Coyle,0,1973,\N,102,Crime Drama
The Big Feast,La grande bouffe,0,1973,\N,130,Comedy Drama
My Name Is Nobody,Il mio nome è Nessuno,0,1973,\N,116,Comedy Western
Ivan Vasilyevich Changes His Profession,Ivan Vasilevich menyaet professiyu,0,1973,\N,88,Adventure Comedy Sci-Fi
Jesus Christ Superstar,Jesus Christ Superstar,0,1973,\N,106,Drama History Musical
The Last Detail,The Last Detail,0,1973,\N,104,Comedy Drama
The Last of Sheila,The Last of Sheila,0,1973,\N,120,Crime Drama Mystery
The Long Goodbye,The Long Goodbye,0,1973,\N,112,Comedy Crime Drama
Magnum Force,Magnum Force,0,1973,\N,124,Action Crime Mystery
Mean Streets,Mean Streets,0,1973,\N,112,Crime Drama Thriller
Day for Night,La nuit américaine,0,1973,\N,116,Comedy Drama Romance
O Lucky Man!,O Lucky Man!,0,1973,\N,178,Comedy Drama Fantasy
The Paper Chase,The Paper Chase,0,1973,\N,113,Comedy Drama
Paper Moon,Paper Moon,0,1973,\N,102,Comedy Crime Drama
Papillon,Papillon,0,1973,\N,151,Biography Crime Drama
Pat Garrett & Billy the Kid,Pat Garrett and Billy the Kid,0,1973,\N,122,Biography Drama Western
Fantastic Planet,La planète sauvage,0,1973,\N,72,Animation Sci-Fi
Robin Hood,Robin Hood,0,1973,\N,83,Adventure Animation Comedy
Scarecrow,Scarecrow,0,1973,\N,112,Drama
Serpico,Serpico,0,1973,\N,130,Biography Crime Drama
Sleeper,Sleeper,0,1973,\N,89,Comedy Sci-Fi
The Sting,The Sting,0,1973,\N,129,Comedy Crime Drama
Theater of Blood,Theatre of Blood,0,1973,\N,104,Comedy Drama Horror
Three Wishes for Cinderella,Tri orísky pro Popelku,0,1973,\N,88,Adventure Drama Family
Turkish Delight,Turks fruit,0,1973,\N,108,Drama Romance
The Wicker Man,The Wicker Man,0,1973,\N,88,Horror Mystery Thriller
Alice Doesn't Live Here Anymore,Alice Doesn't Live Here Anymore,0,1974,\N,112,Drama Romance
Amarcord,Amarcord,0,1973,\N,123,Comedy Drama
Ali: Fear Eats the Soul,Angst essen Seele auf,0,1974,\N,93,Drama Romance
Belladonna of Sadness,Kanashimi no Beradonna,0,1973,\N,86,Animation Drama Fantasy
Black Christmas,Black Christmas,0,1974,\N,98,Horror Mystery Thriller
Blazing Saddles,Blazing Saddles,0,1974,\N,93,Comedy Western
Bring Me the Head of Alfredo Garcia,Bring Me the Head of Alfredo Garcia,0,1974,\N,112,Action Crime Drama
California Split,California Split,0,1974,\N,108,Comedy Drama
Chinatown,Chinatown,0,1974,\N,130,Drama Mystery Thriller
The Conversation,The Conversation,0,1974,\N,113,Drama Mystery Thriller
Dersu Uzala,Dersu Uzala,0,1975,\N,142,Adventure Biography Drama
The Phantom of Liberty,Le fantôme de la liberté,0,1974,\N,104,Comedy
The Front Page,The Front Page,0,1974,\N,105,Comedy Drama Romance
The Godfather Part II,The Godfather Part II,0,1974,\N,202,Crime Drama
The Holy Mountain,La montaña sagrada,0,1973,\N,114,Adventure Drama Fantasy
The Enigma of Kaspar Hauser,Jeder für sich und Gott gegen alle,0,1974,\N,110,Biography Drama History
"Lacombe, Lucien",Lacombe Lucien,0,1974,\N,138,Drama War
Lenny,Lenny,0,1974,\N,111,Biography Drama
The Longest Yard,The Longest Yard,0,1974,\N,121,Comedy Crime Drama
Monty Python and the Holy Grail,Monty Python and the Holy Grail,0,1975,\N,91,Adventure Comedy Fantasy
Murder on the Orient Express,Murder on the Orient Express,0,1974,\N,128,Crime Drama Mystery
The Parallax View,The Parallax View,0,1974,\N,102,Drama Mystery Thriller
Phantom of the Paradise,Phantom of the Paradise,0,1974,\N,91,Comedy Drama Fantasy
The Taking of Pelham One Two Three,The Taking of Pelham One Two Three,0,1974,\N,104,Action Crime Thriller
The Texas Chain Saw Massacre,The Texas Chain Saw Massacre,0,1974,\N,83,Horror
The Three Musketeers,The Three Musketeers,0,1973,\N,106,Action Adventure Romance
Going Places,Les valseuses,0,1974,\N,117,Action Comedy Crime
A Woman Under the Influence,A Woman Under the Influence,0,1974,\N,155,Drama Romance
Young Frankenstein,Young Frankenstein,0,1974,\N,106,Comedy
Mirror,Zerkalo,0,1975,\N,107,Biography Drama
Amici miei,Amici miei,0,1975,\N,140,Comedy Drama
Barry Lyndon,Barry Lyndon,0,1975,\N,185,Adventure Drama War
Chupke Chupke,Chupke Chupke,0,1975,\N,146,Comedy Drama Romance
Deewaar,Deewaar,0,1975,\N,174,Action Crime Drama
Dog Day Afternoon,Dog Day Afternoon,0,1975,\N,125,Biography Crime Drama
The Twelve Tasks of Asterix,Les 12 travaux d'Astérix,0,1976,\N,82,Adventure Animation Comedy
F for Fake,F for Fake,0,1973,\N,89,Documentary
Female Trouble,Female Trouble,0,1974,\N,89,Comedy Crime
The Pinchcliffe Grand Prix,Flåklypa Grand Prix,0,1975,\N,88,Animation Comedy Family
Grey Gardens,Grey Gardens,0,1975,\N,95,Comedy Documentary Drama
Hard Times,Hard Times,0,1975,\N,93,Crime Drama Sport
The Story of Adele H,L'histoire d'Adèle H.,0,1975,\N,96,Biography Drama History
Jaws,Jaws,0,1975,\N,124,Adventure Drama Horror
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles","Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",0,1975,\N,202,Drama
Love and Death,Love and Death,0,1975,\N,85,Comedy War
The Man Who Would Be King,The Man Who Would Be King,0,1975,\N,129,Adventure Drama War
Nashville,Nashville,0,1975,\N,160,Comedy Drama Music
Night Moves,Night Moves,0,1975,\N,100,Crime Drama Mystery
One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,0,1975,\N,133,Drama
Picnic at Hanging Rock,Picnic at Hanging Rock,0,1975,\N,115,Drama Mystery
The Passenger,Professione: reporter,0,1975,\N,126,Drama Thriller
Deep Red,Profondo rosso,0,1975,\N,127,Horror Mystery Thriller
The Rocky Horror Picture Show,The Rocky Horror Picture Show,0,1975,\N,100,Comedy Horror Musical
Sholay,Sholay,0,1975,\N,162,Action Adventure Comedy
Three Days of the Condor,Three Days of the Condor,0,1975,\N,117,Crime Mystery Thriller
The Yakuza,The Yakuza,0,1974,\N,112,Action Crime Drama
1900,Novecento,0,1976,\N,317,Drama History
The Wing or The Thigh?,L'aile ou la cuisse,0,1976,\N,104,Comedy
All the President's Men,All the President's Men,0,1976,\N,138,Drama History Thriller
Assault on Precinct 13,Assault on Precinct 13,0,1976,\N,91,Action Crime Thriller
The Bad News Bears,The Bad News Bears,0,1976,\N,102,Comedy Drama Family
"Ugly, Dirty and Bad","Brutti, sporchi e cattivi",0,1976,\N,115,Comedy Drama
Carrie,Carrie,0,1976,\N,98,Horror Mystery
Cría Cuervos,Cría cuervos,0,1976,\N,105,Drama
Crime Busters,I due superpiedi quasi piatti,0,1977,\N,98,Action Adventure Comedy
Eraserhead,Eraserhead,0,1977,\N,89,Fantasy Horror
The Front,The Front,0,1976,\N,95,Drama
Cross of Iron,Cross of Iron,0,1977,\N,119,Drama War
The Killing of a Chinese Bookie,The Killing of a Chinese Bookie,0,1976,\N,135,Crime Drama Thriller
The Tenant,Le locataire,0,1976,\N,126,Drama Thriller
Marathon Man,Marathon Man,0,1976,\N,125,Crime Drama Thriller
The Message,The Message,0,1976,\N,177,Biography Drama History
Mikey and Nicky,Mikey and Nicky,0,1976,\N,106,Crime Drama
Mr. Klein,Mr. Klein,0,1976,\N,123,Crime Drama Mystery
Murder by Death,Murder by Death,0,1976,\N,95,Comedy Crime Mystery
Network,Network,0,1976,\N,121,Drama
The Omen,The Omen,0,1976,\N,111,Horror Mystery
The Outlaw Josey Wales,The Outlaw Josey Wales,0,1976,\N,135,Drama Western
The Pink Panther Strikes Again,The Pink Panther Strikes Again,0,1976,\N,103,Comedy Crime
The Message,Al-risâlah,0,1976,\N,207,Action Adventure Biography
Rocky,Rocky,0,1976,\N,120,Drama Sport
The Shootist,The Shootist,0,1976,\N,100,Drama Romance Western
The Song Remains the Same,The Song Remains the Same,0,1976,\N,137,Documentary Music
Stroszek,Stroszek,0,1977,\N,115,Comedy Drama
Taxi Driver,Taxi Driver,0,1976,\N,114,Crime Drama
The Ascent,Voskhozhdenie,0,1977,\N,111,Drama War
Who Can Kill a Child?,¿Quién puede matar a un niño?,0,1976,\N,112,Horror Mystery Thriller
3 Women,3 Women,0,1977,\N,124,Drama Mystery Thriller
Amar Akbar Anthony,Amar Akbar Anthony,0,1977,\N,184,Action Comedy Drama
The American Friend,Der amerikanische Freund,0,1977,\N,128,Crime Drama Mystery
Annie Hall,Annie Hall,0,1977,\N,93,Comedy Romance
A Bridge Too Far,A Bridge Too Far,0,1977,\N,175,Drama History War
We All Loved Each Other So Much,C'eravamo tanto amati,0,1974,\N,124,Comedy Drama
That Obscure Object of Desire,Cet obscur objet du désir,0,1977,\N,103,Comedy Drama Romance
Close Encounters of the Third Kind,Close Encounters of the Third Kind,0,1977,\N,138,Drama Sci-Fi
The Duellists,The Duellists,0,1977,\N,100,Drama War
Equus,Equus,0,1977,\N,137,Drama Mystery
A Special Day,Una giornata particolare,0,1977,\N,103,Drama
The Goodbye Girl,The Goodbye Girl,0,1977,\N,111,Comedy Drama Romance
The Man Who Loved Women,L'homme qui aimait les femmes,0,1977,\N,120,Comedy Drama Romance
House,Hausu,0,1977,\N,88,Comedy Horror
Julia,Julia,0,1977,\N,117,Drama
Killer of Sheep,Killer of Sheep,0,1978,\N,80,Drama
Who's Singin' Over There?,Ko to tamo peva,0,1980,\N,86,Adventure Comedy Drama
The Many Adventures of Winnie the Pooh,The Many Adventures of Winnie the Pooh,0,1977,\N,74,Animation Comedy Family
Pumping Iron,Pumping Iron,0,1977,\N,86,Documentary Sport
Slap Shot,Slap Shot,0,1977,\N,123,Comedy Drama Sport
Office Romance,Sluzhebnyy roman,0,1977,\N,159,Comedy Drama Romance
Soldier of Orange,Soldaat van Oranje,0,1977,\N,165,Drama Romance Thriller
Sorcerer,Sorcerer,0,1977,\N,121,Adventure Drama Thriller
Star Wars: Episode IV - A New Hope,Star Wars,0,1977,\N,121,Action Adventure Fantasy
Suspiria,Suspiria,0,1977,\N,92,Horror
The Tree of Wooden Clogs,L'albero degli zoccoli,0,1978,\N,186,Drama History
Big Wednesday,Big Wednesday,0,1978,\N,120,Drama Sport
Blue Collar,Blue Collar,0,1978,\N,114,Crime Drama
The Buddy Holly Story,The Buddy Holly Story,0,1978,\N,114,Biography Drama Music
La Cage aux Folles,La cage aux folles,0,1978,\N,97,Comedy
Coming Home,Coming Home,0,1978,\N,127,Drama Romance War
Dawn of the Dead,Dawn of the Dead,0,1978,\N,127,Horror Thriller
Days of Heaven,Days of Heaven,0,1978,\N,94,Drama Romance
Death on the Nile,Death on the Nile,0,1978,\N,140,Crime Drama Mystery
The Deer Hunter,The Deer Hunter,0,1978,\N,183,Drama War
Don,Don,0,1978,\N,166,Action Crime Thriller
The Driver,The Driver,0,1978,\N,91,Action Crime Thriller
Grease,Grease,0,1978,\N,110,Comedy Musical Romance
Halloween,Halloween,0,1978,\N,91,Horror Thriller
Autumn Sonata,Höstsonaten,0,1978,\N,99,Drama Music
Interiors,Interiors,0,1978,\N,92,Drama
Invasion of the Body Snatchers,Invasion of the Body Snatchers,0,1978,\N,115,Horror Sci-Fi
The Last Waltz,The Last Waltz,0,1978,\N,117,Biography Documentary Music
Midnight Express,Midnight Express,0,1978,\N,121,Biography Crime Drama
National Lampoon's Animal House,National Lampoon's Animal House,0,1978,\N,109,Comedy
Odds and Evens,Pari e dispari,0,1978,\N,109,Action Comedy Crime
The 36th Chamber of Shaolin,Shao Lin san shi liu fang,0,1978,\N,116,Action Adventure Drama
Snake in the Eagle's Shadow,Se ying diu sau,0,1978,\N,90,Action Comedy
The Silent Partner,The Silent Partner,0,1978,\N,106,Comedy Crime Drama
Straight Time,Straight Time,0,1978,\N,114,Crime Drama
Superman,Superman,0,1978,\N,143,Action Adventure Sci-Fi
Watership Down,Watership Down,0,1978,\N,92,Adventure Animation Drama
And Justice for All,...And Justice for All,0,1979,\N,119,Crime Drama Thriller
Alien,Alien,0,1979,\N,117,Horror Sci-Fi
All That Jazz,All That Jazz,0,1979,\N,123,Drama Music Musical
Camera Buff,Amator,0,1979,\N,112,Comedy Drama Romance
Apocalypse Now,Apocalypse Now,0,1979,\N,147,Drama Mystery War
Being There,Being There,0,1979,\N,130,Comedy Drama
The Black Stallion,The Black Stallion,0,1979,\N,118,Adventure Family Sport
The Tin Drum,Die Blechtrommel,0,1979,\N,142,Drama War
Breaking Away,Breaking Away,0,1979,\N,101,Comedy Drama Sport
French Fried Vacation 2,Les bronzés font du ski,0,1979,\N,90,Comedy
The China Syndrome,The China Syndrome,0,1979,\N,122,Drama Thriller
The Marriage of Maria Braun,Die Ehe der Maria Braun,0,1979,\N,120,Drama Romance
Escape from Alcatraz,Escape from Alcatraz,0,1979,\N,112,Biography Crime Drama
Vengeance Is Mine,Fukushû suru wa ware ni ari,0,1979,\N,139,Crime Drama
Gol Maal,Gol Maal,0,1979,\N,120,Comedy Romance
Hair,Hair,0,1979,\N,121,Comedy Drama Musical
Hardcore,Hardcore,0,1979,\N,108,Crime Drama
The In-Laws,The In-Laws,0,1979,\N,103,Action Adventure Comedy
The Jerk,The Jerk,0,1979,\N,94,Comedy
Kramer vs. Kramer,Kramer vs. Kramer,0,1979,\N,105,Drama
Monty Python's Life of Brian,Life of Brian,0,1979,\N,94,Comedy
Manhattan,Manhattan,0,1979,\N,96,Comedy Drama Romance
Moscow Does Not Believe in Tears,Moskva slezam ne verit,0,1980,\N,150,Comedy Drama Romance
The Muppet Movie,The Muppet Movie,0,1979,\N,95,Adventure Comedy Family
Norma Rae,Norma Rae,0,1979,\N,114,Drama
Nosferatu the Vampyre,Nosferatu - Phantom der Nacht,0,1979,\N,107,Drama Horror
Opening Night,Opening Night,0,1977,\N,144,Drama
Over the Edge,Over the Edge,0,1979,\N,95,Crime Drama
Quadrophenia,Quadrophenia,0,1979,\N,120,Drama Music
Rocky II,Rocky II,0,1979,\N,119,Drama Sport
Lupin III: The Castle of Cagliostro,Rupan sansei: Kariosutoro no shiro,0,1979,\N,102,Adventure Animation Comedy
Scum,Scum,0,1979,\N,98,Crime Drama
Stalker,Stalker,0,1979,\N,162,Drama Sci-Fi
Tess,Tess,0,1979,\N,186,Drama Romance
The Wanderers,The Wanderers,0,1979,\N,112,Crime Drama Romance
The Warriors,The Warriors,0,1979,\N,93,Action Crime Thriller
Drunken Master,Jui kuen,0,1978,\N,111,Action Comedy
Breaker Morant,'Breaker' Morant,0,1980,\N,107,Drama History War
Airplane!,Airplane!,0,1980,\N,88,Comedy
Atlantic City,Atlantic City,0,1980,\N,104,Crime Drama Romance
The Big Red One,The Big Red One,0,1980,\N,113,Drama War
The Taming of the Scoundrel,Il bisbetico domato,0,1980,\N,107,Comedy Romance
The Blues Brothers,The Blues Brothers,0,1980,\N,133,Adventure Comedy Crime
Brubaker,Brubaker,0,1980,\N,131,Crime Drama
Caddyshack,Caddyshack,0,1980,\N,98,Comedy Sport
The Changeling,The Changeling,0,1980,\N,107,Horror Mystery
Coal Miner's Daughter,Coal Miner's Daughter,0,1980,\N,124,Biography Drama Music
The Last Metro,Le dernier métro,0,1980,\N,132,Drama Romance War
Dressed to Kill,Dressed to Kill,0,1980,\N,104,Crime Drama Mystery
The Elephant Man,The Elephant Man,0,1980,\N,124,Biography Drama
Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,0,1980,\N,124,Action Adventure Fantasy
Gloria,Gloria,0,1980,\N,123,Crime Drama Thriller
The Gods Must Be Crazy,The Gods Must Be Crazy,0,1980,\N,109,Adventure Comedy
Hopscotch,Hopscotch,0,1980,\N,106,Adventure Comedy
Kagemusha: The Shadow Warrior,Kagemusha,0,1980,\N,162,Drama History War
Lion of the Desert,Lion of the Desert,0,1980,\N,173,Biography Drama History
The Long Good Friday,The Long Good Friday,0,1980,\N,114,Crime Drama Mystery
My Bodyguard,My Bodyguard,0,1980,\N,102,Comedy Drama Family
Ordinary People,Ordinary People,0,1980,\N,124,Drama
Raging Bull,Raging Bull,0,1980,\N,129,Biography Drama Sport
The Shining,The Shining,0,1980,\N,146,Drama Horror
Shogun Assassin,Shogun Assassin,0,1980,\N,85,Action Adventure
Somewhere in Time,Somewhere in Time,0,1980,\N,103,Drama Fantasy Romance
Stardust Memories,Stardust Memories,0,1980,\N,89,Comedy Drama
Sällskapsresan eller Finns det svenskt kaffe på grisfesten,Sällskapsresan eller Finns det svenskt kaffe på grisfesten,0,1980,\N,107,Comedy
An American Werewolf in London,An American Werewolf in London,0,1981,\N,97,Comedy Horror
Blow Out,Blow Out,0,1981,\N,108,Crime Drama Mystery
Body Heat,Body Heat,0,1981,\N,113,Crime Drama Romance
Das Boot,Das Boot,0,1981,\N,149,Drama War
Chariots of Fire,Chariots of Fire,0,1981,\N,125,Biography Drama Sport
Christiane F.,Christiane F. - Wir Kinder vom Bahnhof Zoo,0,1981,\N,138,Biography Drama
La Chèvre,La chèvre,0,1981,\N,91,Adventure Comedy Crime
Diva,Diva,0,1981,\N,117,Crime Drama Music
Escape from New York,Escape from New York,0,1981,\N,99,Action Adventure Sci-Fi
Excalibur,Excalibur,0,1981,\N,140,Adventure Drama Fantasy
Eye of the Needle,Eye of the Needle,0,1981,\N,112,Romance Thriller War
The Woman Next Door,La femme d'à côté,0,1981,\N,106,Drama Romance
The Fox and the Hound,The Fox and the Hound,0,1981,\N,83,Adventure Animation Drama
Gallipoli,Gallipoli,0,1981,\N,110,Adventure Drama History
The Great Muppet Caper,The Great Muppet Caper,0,1981,\N,97,Adventure Comedy Crime
Gregory's Girl,Gregory's Girl,0,1980,\N,91,Comedy Drama Romance
Quest for Fire,La guerre du feu,0,1981,\N,100,Adventure Drama
The Road Warrior,Mad Max 2,0,1981,\N,96,Action Adventure Sci-Fi
Mephisto,Mephisto,0,1981,\N,146,Drama
My Dinner with Andre,My Dinner with Andre,0,1981,\N,110,Comedy Drama
On Golden Pond,On Golden Pond,0,1981,\N,109,Drama
Pixote,Pixote: A Lei do Mais Fraco,0,1980,\N,128,Crime Drama
Possession,Possession,0,1981,\N,124,Drama Horror
Prince of the City,Prince of the City,0,1981,\N,167,Crime Drama
The Professional,Le professionnel,0,1981,\N,108,Action Crime Drama
Ragtime,Ragtime,0,1981,\N,155,Drama
Raiders of the Lost Ark,Raiders of the Lost Ark,0,1981,\N,115,Action Adventure
Reds,Reds,0,1981,\N,195,Biography Drama History
Southern Comfort,Southern Comfort,0,1981,\N,106,Action Thriller
Thief,Thief,0,1981,\N,123,Action Crime Drama
Blade Runner,Blade Runner,0,1982,\N,117,Action Drama Sci-Fi
Burden of Dreams,Burden of Dreams,0,1982,\N,95,Documentary
Danton,Danton,0,1983,\N,136,Biography Drama History
The Dark Crystal,The Dark Crystal,0,1982,\N,93,Adventure Family Fantasy
The Draughtsman's Contract,The Draughtsman's Contract,0,1982,\N,108,Comedy Drama Mystery
E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,0,1982,\N,115,Adventure Family Sci-Fi
The Evil Dead,The Evil Dead,0,1981,\N,85,Horror
Fanny and Alexander,Fanny och Alexander,0,1982,\N,188,Drama
Fast Times at Ridgemont High,Fast Times at Ridgemont High,0,1982,\N,90,Comedy Drama
First Blood,First Blood,0,1982,\N,93,Action Adventure Thriller
Fitzcarraldo,Fitzcarraldo,0,1982,\N,158,Adventure Drama Music
Frances,Frances,0,1982,\N,140,Biography Drama Romance
Gandhi,Gandhi,0,1982,\N,191,Biography Drama History
The Last Unicorn,The Last Unicorn,0,1982,\N,92,Adventure Animation Drama
The Man from Snowy River,The Man from Snowy River,0,1982,\N,102,Adventure Drama Romance
The Marathon Family,Maratonci trce pocasni krug,0,1982,\N,92,Comedy Drama
Missing,Missing,0,1982,\N,122,Biography Drama History
Monty Python Live at the Hollywood Bowl,Monty Python Live at the Hollywood Bowl,0,1982,\N,81,Comedy Documentary Musical
My Favorite Year,My Favorite Year,0,1982,\N,92,Comedy Drama
The Ballad of Narayama,Narayama bushikô,0,1983,\N,130,Drama Mystery
An Officer and a Gentleman,An Officer and a Gentleman,0,1982,\N,124,Drama Romance
Pink Floyd: The Wall,Pink Floyd: The Wall,0,1982,\N,95,Drama Fantasy Music
The Plague Dogs,The Plague Dogs,0,1982,\N,103,Adventure Animation Drama
Poltergeist,Poltergeist,0,1982,\N,114,Horror Thriller
Blind Chance,Przypadek,0,1987,\N,114,Drama Romance
Santa Claus Is a Stinker,Le père Noël est une ordure,0,1982,\N,88,Comedy
Sans Soleil,Sans soleil,0,1983,\N,100,Documentary Drama
The Secret of NIMH,The Secret of NIMH,0,1982,\N,82,Adventure Animation Drama
Veronika Voss,Die Sehnsucht der Veronika Voss,0,1982,\N,104,Drama
Sophie's Choice,Sophie's Choice,0,1982,\N,150,Drama Romance
Star Trek II: The Wrath of Khan,Star Trek II: The Wrath of Khan,0,1982,\N,113,Action Adventure Sci-Fi
The Thing,The Thing,0,1982,\N,109,Horror Mystery Sci-Fi
Tootsie,Tootsie,0,1982,\N,116,Comedy Drama Romance
The Verdict,The Verdict,0,1982,\N,129,Drama
Victor/Victoria,Victor/Victoria,0,1982,\N,134,Comedy Music Romance
The World According to Garp,The World According to Garp,0,1982,\N,136,Comedy Drama
Yol,Yol,0,1982,\N,107,Drama
Project A,'A' gai wak,0,1983,\N,105,Action Adventure Comedy
L'Argent,L'Argent,0,1983,\N,85,Crime Drama
Bad Boys,Bad Boys,0,1983,\N,123,Crime Drama Thriller
Barefoot Gen,Hadashi no Gen,0,1983,\N,83,Animation Biography Drama
The Big Chill,The Big Chill,0,1983,\N,105,Comedy Drama
Who Finds a Friend Finds a Treasure,Chi trova un amico trova un tesoro,0,1981,\N,108,Action Adventure Comedy
A Christmas Story,A Christmas Story,0,1983,\N,93,Comedy Family
The Dead Zone,The Dead Zone,0,1983,\N,103,Drama Horror Sci-Fi
Educating Rita,Educating Rita,0,1983,\N,110,Comedy Drama
