tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes
tt0023563,The Testament of Dr. Mabuse,Das Testament des Dr. Mabuse,0,1933,122
tt0023590,Three on a Match,Three on a Match,0,1932,63
tt0023622,Trouble in Paradise,Trouble in Paradise,0,1932,83
tt0023634,"I Was Born, But...",Otona no miru ehon - Umarete wa mita keredo,0,1932,90
tt0023649,Vampyr,Vampyr,0,1932,75
tt0023775,Baby Face,Baby Face,0,1933,71
tt0023825,Bombshell,Bombshell,0,1933,96
tt0023871,A Song of Lisbon,A Canção de Lisboa,0,1933,85
tt0023911,Counsellor at Law,Counsellor at Law,0,1933,82
tt0023937,Passing Fancy,Dekigokoro,0,1933,100
tt0023940,Design for Living,Design for Living,0,1933,91
tt0023943,The Devil's Brother,The Devil's Brother,0,1933,90
tt0023948,Dinner at Eight,Dinner at Eight,0,1933,111
tt0023969,Duck Soup,Duck Soup,0,1933,69
tt0023986,Employees' Entrance,Employees' Entrance,0,1933,75
tt0024028,Footlight Parade,Footlight Parade,0,1933,104
tt0024034,42nd Street,42nd Street,0,1933,89
tt0024069,Gold Diggers of 1933,Gold Diggers of 1933,0,1933,97
tt0024115,Heroes for Sale,Heroes for Sale,0,1933,76
tt0024184,The Invisible Man,The Invisible Man,0,1933,71
tt0024188,Island of Lost Souls,Island of Lost Souls,0,1932,70
tt0024216,King Kong,King Kong,0,1933,100
tt0024240,Lady for a Day,Lady for a Day,0,1933,96
tt0024252,Playing at Love,Liebelei,0,1933,88
tt0024264,Little Women,Little Women,0,1933,115
tt0024302,Man's Castle,Man's Castle,0,1933,78
tt0024481,Queen Christina,Queen Christina,0,1933,99
tt0024601,Sons of the Desert,Sons of the Desert,0,1933,68
tt0024617,The Story of Temple Drake,The Story of Temple Drake,0,1933,70
tt0024772,Wild Boys of the Road,Wild Boys of the Road,0,1933,68
tt0024785,The Working Man,The Working Man,0,1933,78
tt0024803,Zero for Conduct,Zéro de conduite,0,1933,47
tt0024844,L'Atalante,L'Atalante,0,1934,89
tt0024852,March of the Wooden Soldiers,Babes in Toyland,0,1934,77
tt0024914,Bright Eyes,Bright Eyes,0,1934,85
tt0025004,The Count of Monte Cristo,The Count of Monte Cristo,0,1934,113
tt0025164,The Gay Divorcee,The Gay Divorcee,0,1934,107
tt0025228,Heat Lightning,Heat Lightning,0,1934,63
tt0025301,Imitation of Life,Imitation of Life,0,1934,111
tt0025316,It Happened One Night,It Happened One Night,0,1934,105
tt0025318,It's a Gift,It's a Gift,0,1934,68
tt0025456,Man of Aran,Man of Aran,0,1934,76
tt0025464,Manhattan Melodrama,Manhattan Melodrama,0,1934,93
tt0025493,The Merry Widow,The Merry Widow,0,1934,99
tt0025509,Les Misérables,Les misérables,0,1934,281
tt0025590,The Old Fashioned Way,The Old Fashioned Way,0,1934,71
tt0025746,The Scarlet Empress,The Scarlet Empress,0,1934,104
tt0025748,The Scarlet Pimpernel,The Scarlet Pimpernel,0,1934,97
tt0025791,Everybody's Woman,La signora di tutti,0,1934,89
tt0025862,Tarzan and His Mate,Tarzan and His Mate,0,1934,104
tt0025878,The Thin Man,The Thin Man,0,1934,91
tt0025898,Toni,Toni,0,1935,84
tt0025907,Treasure Island,Treasure Island,0,1934,110
tt0025913,Triumph of the Will,Triumph des Willens,0,1935,110
tt0025919,Twentieth Century,Twentieth Century,0,1934,91
tt0025929,A Story of Floating Weeds,Ukigusa monogatari,0,1934,86
tt0026017,You're Telling Me!,You're Telling Me!,0,1934,66
tt0026029,The 39 Steps,The 39 Steps,0,1935,86
tt0026138,Bride of Frankenstein,The Bride of Frankenstein,0,1935,75
tt0026174,Captain Blood,Captain Blood,0,1935,119
tt0026198,Charlie Chan in Paris,Charlie Chan in Paris,0,1935,72
tt0026266,David Copperfield,"The Personal History, Adventures, Experience, & Observation of David Copperfield the Younger",0,1935,130
tt0026393,'G' Men,'G' Men,0,1935,85
tt0026424,The Good Fairy,The Good Fairy,0,1935,98
tt0026529,The Informer,The Informer,0,1935,91
tt0026564,Carnival in Flanders,La kermesse héroïque,0,1935,95
tt0026663,Mad Love,Mad Love,0,1935,68
tt0026676,Man on the Flying Trapeze,Man on the Flying Trapeze,0,1935,66
tt0026725,Les Misérables,Les Misérables,0,1935,108
tt0026752,Mutiny on the Bounty,Mutiny on the Bounty,0,1935,132
tt0026778,A Night at the Opera,A Night at the Opera,0,1935,96
tt0026955,Ruggles of Red Gap,Ruggles of Red Gap,0,1935,90
tt0027075,A Tale of Two Cities,A Tale of Two Cities,0,1935,128
